year,primary_artist,title,weeks_at_number_1,video
1952,Al Martino,Here in My Heart,9,https://www.youtube.com/watch?v=cMD-k0C1AM8
1953,Frankie Laine,Answer Me,8,https://www.youtube.com/watch?v=HOu-E52SS-I
1954,Winifred Atwell,Let's Have Another Party,5,https://www.youtube.com/watch?v=umJxL4Gmx3Y
1955,Dickie Valentine,Christmas Alphabet,3,https://www.youtube.com/watch?v=tAGi3d8CUMg
1956,Johnnie Ray,Just Walkin' in the Rain,7,https://www.youtube.com/watch?v=8uCsvWgmjwg
1957,Harry Belafonte,Mary's Boy Child,7,https://www.youtube.com/watch?v=8N8aNhbnP-Y
1958,Conway Twitty,It's Only Make Believe,5,https://www.youtube.com/watch?v=0XbM7G-zJDY
1959,Emile Ford and the Checkmates,What Do You Want to Make Those Eyes at Me For?,6,https://www.youtube.com/watch?v=KbL530kanTU
1960,Cliff Richard and the Shadows,I Love You,2,https://www.youtube.com/watch?v=uNRDiVcTrPI
1961,Danny Williams,Moon River,2,https://www.youtube.com/watch?v=VkyDYbMUPj4
1962,Elvis Presley,Return to Sender,3,https://www.youtube.com/watch?v=LZmUfUBqE-s
1963,The Beatles,I Want to Hold Your Hand,5,https://www.youtube.com/watch?v=v1HDt1tknTc
1964,The Beatles,I Feel Fine,5,https://www.youtube.com/watch?v=xLBVgnZyuic
1965,The Beatles,Day Tripper and We Can Work It Out,5,https://www.youtube.com/watch?v=2IbPn5j2YKk
1966,Tom Jones,"Green, Green Grass of Home",7,https://www.youtube.com/watch?v=EmT1ptv3VEc
1967,The Beatles,"Hello, Goodbye",7,https://www.youtube.com/watch?v=rblYSKz_VnI
1968,The Scaffold,Lily the Pink,4,https://www.youtube.com/watch?v=2x8D4T--0v4
1969,Rolf Harris,Two Little Boys,6,https://www.youtube.com/watch?v=O9TVvkpHWxg
1970,Dave Edmunds,I Hear You Knocking,6,https://www.youtube.com/watch?v=hMjwb13TFCo
1971,Benny Hill,Ernie (The Fastest Milkman in the West),4,https://www.youtube.com/watch?v=8e1xvyTdBZI
1972,Jimmy Osmond,Long Haired Lover from Liverpool,5,https://www.youtube.com/watch?v=YriPIujLtsA
1973,Slade,Merry Xmas Everybody,5,https://www.youtube.com/watch?v=PTslBTBl1X8
1974,Mud,Lonely This Christmas,4,https://www.youtube.com/watch?v=NJ6kJ7GWtv0
1975,Queen,Bohemian Rhapsody,9,https://www.youtube.com/watch?v=fJ9rUzIMcZQ
1976,Johnny Mathis,When a Child Is Born (Soleado),3,https://www.youtube.com/watch?v=gjYWYJudTPE
1977,Wings,Mull of Kintyre and Girl's School,9,https://www.youtube.com/watch?v=Plhtk_XJqhM
1978,Boney M.,Mary's Boy Child – Oh My Lord,4,https://www.youtube.com/watch?v=cmm1gt_2SkQ
1979,Pink Floyd,Another Brick in the Wall (Part 2),5,https://www.youtube.com/watch?v=HrxX9TBj2zY
1980,St Winifred's School Choir,There's No One Quite Like Grandma,2,https://www.youtube.com/watch?v=rsXJcIODLtQ
1981,The Human League,Don't You Want Me,5,https://www.youtube.com/watch?v=uPudE8nDog0
1982,Renée and Renato,Save Your Love,4,https://www.youtube.com/watch?v=m7EnYrW0oQM
1983,The Flying Pickets,Only You,5,https://www.youtube.com/watch?v=qgDKtLPp46s
1984,Band Aid,Do They Know It's Christmas?,5,https://www.youtube.com/watch?v=RH-xd5bPKTA
1985,Shakin' Stevens,Merry Christmas Everyone,2,https://www.youtube.com/watch?v=N-PyWfVkjZc
1986,Jackie Wilson,Reet Petite,4,https://www.youtube.com/watch?v=8CTs8a7dVa0
1987,Pet Shop Boys,Always on My Mind,4,https://www.youtube.com/watch?v=wDe60CbIagg
1988,Cliff Richard,Mistletoe and Wine,4,https://www.youtube.com/watch?v=rZCEBibnRM8
1989,Band Aid II,Do They Know It's Christmas?,3,https://www.youtube.com/watch?v=RMZjb3YEUQ8
1990,Cliff Richard,Saviour's Day,1,https://www.youtube.com/watch?v=FTI8CWSiZ40
1991,Queen,Bohemian Rhapsody and These Are the Days of Our Lives,5,https://www.youtube.com/watch?v=fJ9rUzIMcZQ
1992,Whitney Houston,I Will Always Love You,10,https://www.youtube.com/watch?v=3JWTaaS7LdU
1993,Mr Blobby,Mr Blobby,3,https://www.youtube.com/watch?v=rNkgDJpcuwU
1994,East 17,Stay Another Day,5,https://www.youtube.com/watch?v=-wNhdjoF-6M
1995,Michael Jackson,Earth Song,6,https://www.youtube.com/watch?v=XAi3VTSdTxU
1996,Spice Girls,2 Become 1,3,https://www.youtube.com/watch?v=FA5jsa1lR9c
1997,Spice Girls,Too Much,2,https://www.youtube.com/watch?v=_4VoZ6afztc
1998,Spice Girls,Goodbye,1,https://www.youtube.com/watch?v=eegDtyrSUZw
1999,Westlife,I Have a Dream and Seasons in the Sun,4,https://www.youtube.com/watch?v=_HkL8GuU9_0
2000,Bob the Builder,Can We Fix It?,3,https://www.youtube.com/watch?v=l-epqIHe4w0
2001,Robbie Williams and Nicole Kidman,Somethin' Stupid,3,https://www.youtube.com/watch?v=f43nR8Wu_1Y
2002,Girls Aloud,Sound of the Underground,4,https://www.youtube.com/watch?v=V9Wv4SCBiTE
2003,Michael Andrews and Gary Jules,Mad World,3,https://www.youtube.com/watch?v=iB1qMqOF7tU
2004,Band Aid 20,Do They Know It's Christmas?,4,https://www.youtube.com/watch?v=_UZ--sD_DBQ
2005,Shayne Ward[nb 4],That's My Goal,4,https://www.youtube.com/watch?v=gWSfBggWBek
2006,Leona Lewis[nb 4],A Moment Like This,4,https://www.youtube.com/watch?v=sxbX-z5-QHs
2007,Leon Jackson[nb 4],When You Believe,3,https://www.youtube.com/watch?v=FLJqKz_QxuM
2008,Alexandra Burke[nb 4],Hallelujah,3,https://www.youtube.com/watch?v=aplWTXEcY70
2009,Rage Against the Machine,Killing in the Name,1,https://www.youtube.com/watch?v=bWXazVhlyxQ
2010,Matt Cardle[nb 4],When We Collide,3,https://www.youtube.com/watch?v=-Hri715W56I
2011,Military Wives with Gareth Malone,Wherever You Are,1,https://www.youtube.com/watch?v=0hR6O7VxKaQ
2012,The Justice Collective[nb 7],"He Ain't Heavy, He's My Brother",1,https://www.youtube.com/watch?v=2h8loYnNlZA
2013,Sam Bailey[nb 4],Skyscraper,1,https://www.youtube.com/watch?v=a4jnlcbbL24
2014,Ben Haenow[nb 4],Something I Need,1,https://www.youtube.com/watch?v=zLBaaN2sqlc
2015,Lewisham and Greenwich NHS Choir[40],A Bridge over You,1,https://www.youtube.com/watch?v=T8qHXlShfUQ
2016,Clean Bandit,Rockabye ft. Sean Paul and Anne-Marie,9,https://www.youtube.com/watch?v=papuvlVeZg8
2017,Ed Sheeran[nb 9],Perfect,6,https://www.youtube.com/watch?v=2Vv-BfVoq4g
2018,LadBaby,We Built This City,1,https://www.youtube.com/watch?v=8iEB8bfP7wE
2019,LadBaby,I Love Sausage Rolls,1,https://www.youtube.com/watch?v=K-WCAEwMJhI
2020,LadBaby,Don't Stop Me Eatin',1,https://www.youtube.com/watch?v=s-shDEK85uA
2021,LadBaby,Sausage Rolls for Everyone,1,https://www.youtube.com/watch?v=GsRJ-iRZasQ
2022,LadBaby,Food Aid ,1,https://www.youtube.com/watch?v=JIS3wNkQ_UE
2023,Wham!,Last Christmas,6,https://www.youtube.com/watch?v=E8gmARGvPlI